t,dur,sbytes,dbytes,sttl,dttl,spkts,dpkts,sload,dload,rate,label,attack_cat,phase_id,is_drift_boundary
2.8,0.013087,1540,1644,31,29,16,18,882708.0625,949339.0625,2521.586352,0,Normal,0,0
2.9,14.224598,4656,2976,31,29,28,28,2525.203125,1614.105347,3.866542,0,Normal,0,0
3.0,0.001287,146,178,31,29,2,2,453768.4375,553224.5625,2331.002293,0,Normal,0,0
3.1,0.182396,320,1910,31,29,6,8,11710.7832,73334.94531,71.273495,0,Normal,0,0
3.2,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
3.3,0.428014,424,8824,31,29,8,12,6934.352539,151191.3125,44.39107,0,Normal,0,0
3.4,0.001008,130,162,31,29,2,2,515873.0313,642857.125,2976.1905,0,Normal,0,0
3.5,9.412763,18058,1087890,31,29,338,746,15302.62793,923369.3125,115.05655,0,Normal,0,0
3.6,0.030029,4014,59460,31,29,68,70,1053648.125,15614506.0,4562.256377,0,Normal,0,0
3.7,2.014453,2558,23266,31,29,40,44,9908.397461,90299.45313,41.202253,0,Normal,0,0
3.8,0.004785,3960,2456,31,29,18,18,6252873.5,3878788.0,7314.524738,0,Normal,0,0
3.9,0.001085,146,178,31,29,2,2,538248.875,656221.1875,2764.976968,0,Normal,0,0
4.0,1.803721,2934,3742,31,29,52,54,12764.72363,16290.76856,58.212996,0,Normal,0,0
4.1,0.005454,2054,2478,31,29,22,24,2876421.0,3483681.75,8250.824953,0,Normal,0,0
4.2,0.005448,1470,1728,31,29,22,14,2061674.0,2356828.25,6424.375871,0,Normal,0,0
4.3,0.05054,5174,83812,31,29,90,92,809972.3125,13122438.0,3581.321711,0,Normal,0,0
4.4,1.220438,1298,678,254,252,14,12,7905.358398,4077.224609,20.484449,0,Normal,0,0
4.5,2e-06,1064,0,254,0,2,0,2128000000.0,0.0,500000.0013,0,Normal,0,0
4.6,0.013322,1058,822,31,29,8,10,556072.625,444377.7188,1276.084634,0,Normal,0,0
4.7,0.021848,2542,23508,31,29,40,42,907726.0625,8403149.0,3707.433075,0,Normal,0,0
4.8,0.001019,130,162,31,29,2,2,510304.25,635917.5625,2944.062924,0,Normal,0,0
4.9,1.909141,18062,354,254,252,20,8,71902.5,1299.01355,14.142486,0,Normal,0,0
5.0,0.04662,320,1882,31,29,6,8,45817.24609,282625.4688,278.850278,0,Normal,0,0
5.1,0.018104,1540,1644,31,29,16,18,638091.0,686257.1875,1822.801589,0,Normal,0,0
5.2,0.520063,842,268,254,252,10,6,11660.12598,3445.736572,28.84266,0,Normal,0,0
5.3,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
5.4,0.789072,832,354,254,252,10,8,7593.730469,3142.932617,21.544296,0,Normal,0,0
5.5,0.382501,4536,3080,31,29,28,30,91482.10938,62284.80469,149.019216,0,Normal,0,0
5.6,0.030906,3806,54798,31,29,64,66,969908.75,13969586.0,4173.946909,0,Normal,0,0
5.7,0.004404,8928,320,31,29,14,6,15060854.0,485013.625,4314.259757,0,Normal,0,0
5.8,2e-06,1064,0,254,0,2,0,2128000000.0,0.0,500000.0013,0,Normal,0,0
5.9,1.123681,848,1370,62,252,10,10,5439.266602,8778.291992,16.908714,0,Normal,0,0
6.0,1.171487,1684,10168,31,29,14,18,10680.44336,65585.02344,26.462095,0,Normal,0,0
6.1,9e-06,104,0,254,0,2,0,46222220.0,0.0,111111.1072,0,Normal,0,0
6.2,2.64453,13350,548216,31,29,232,438,40212.81641,1654630.5,252.975003,0,Normal,0,0
6.3,0.725242,782,764,254,252,14,14,8019.39209,7831.868164,37.228952,0,Normal,0,0
6.4,0.222363,8928,320,31,29,14,6,298287.0313,9605.915039,85.445872,0,Normal,0,0
6.5,0.487748,37938,3276,31,29,54,40,610741.625,52404.10938,190.672234,0,Normal,0,0
6.6,5e-06,1064,0,254,0,2,0,851200000.0,0.0,200000.0051,0,Normal,0,0
6.7,0.101019,4342,63412,31,29,74,72,339262.9063,4952098.0,1435.373508,0,Normal,0,0
6.8,0.02467,1540,1644,31,29,16,18,468261.0625,503607.625,1337.657114,0,Normal,0,0
6.9,0.027105,1048,824,31,29,8,10,270651.1875,219000.1875,627.190558,0,Normal,0,0
7.0,0.011846,2230,13500,31,29,34,36,1462096.875,8863751.0,5824.750809,0,Normal,0,0
7.1,0.000984,146,178,31,29,2,2,593495.9375,723577.1875,3048.780357,0,Normal,0,0
7.2,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
7.3,0.035757,3614,45696,31,29,60,62,795145.0,10058785.0,3383.952652,0,Normal,0,0
7.4,0.00202,544,304,31,29,4,4,1615841.625,902970.3125,3465.34651,0,Normal,0,0
7.5,0.017934,1540,1644,31,29,16,18,644139.625,692762.375,1840.080282,0,Normal,0,0
7.6,0.001063,146,178,31,29,2,2,549388.5625,669802.5,2822.201463,0,Normal,0,0
7.7,0.354766,2516,268,254,252,10,6,51075.91797,5051.216797,42.28139,0,Normal,0,0
7.8,0.111598,2054,2478,31,29,22,24,140576.0,170253.9531,403.233033,0,Normal,0,0
7.9,1.952982,3952,19084,31,29,52,52,15877.25879,76670.44531,52.739863,0,Normal,0,0
8.0,0.676518,534,354,254,252,10,8,5687.949219,3665.829834,25.128673,0,Normal,0,0
8.1,0.001058,146,178,31,29,2,2,551984.875,672967.875,2835.538689,0,Normal,0,0
8.2,0.902056,856,1352,62,252,10,8,6837.712891,10491.58789,18.845837,0,Normal,0,0
8.3,0.118192,3744,19084,31,29,48,52,248138.625,1266887.75,837.620128,0,Normal,0,0
8.4,0.846188,774,556,254,252,14,10,6797.543945,4736.536133,27.180721,0,Normal,0,0
8.5,7e-06,776,0,254,0,2,0,443428576.0,0.0,142857.1409,0,Normal,0,0
8.6,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
8.7,4.247673,13454,548216,31,29,234,438,25231.69727,1030145.188,157.968844,0,Normal,0,0
8.8,14.875109,25680,1094788,31,29,458,858,13780.87402,588103.5625,88.402715,0,Normal,0,0
8.9,3.946683,18890,1087890,31,29,354,746,38182.94922,2202218.0,278.46169,0,Normal,0,0
9.0,0.649239,816,1200,62,252,10,8,9056.756836,12938.22461,26.184502,0,Normal,0,0
9.1,0.257379,1920,4312,31,29,22,24,56974.34766,128464.25,174.839442,0,Normal,0,0
9.2,0.992306,858,1408,62,252,10,10,6231.94873,10222.65332,19.14732,0,Normal,0,0
9.3,0.088083,528,304,31,29,4,4,35966.07813,20707.74219,79.4705,0,Normal,0,0
9.4,3e-06,104,0,254,0,2,0,138666656.0,0.0,333333.3215,0,Normal,0,0
9.5,1.045871,1684,10168,31,29,14,18,11963.23438,73462.21094,29.640366,0,Normal,0,0
9.6,0.00104,146,178,31,29,2,2,561538.4375,684615.375,2884.615377,0,Normal,0,0
9.7,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
9.8,0.004661,568,320,31,29,4,4,731173.5625,411928.7813,1501.823686,0,Normal,0,0
9.9,0.188327,3598,48710,31,29,60,62,150334.2656,2035820.625,642.499484,0,Normal,0,0
10.0,5.947779,18058,1087890,31,29,338,746,24217.44336,1461294.375,182.084769,0,Normal,0,0
10.1,0.034917,3926,57474,31,29,66,68,885986.75,12974539.0,3809.032775,0,Normal,0,0
10.2,1.087042,1580,10168,31,29,12,18,10663.80176,70679.88281,26.677903,0,Normal,0,0
10.3,0.941205,2516,354,254,252,10,8,19251.91602,2634.920166,18.061952,0,Normal,0,0
10.4,0.869607,2934,3740,31,29,52,54,26476.32813,33771.57813,120.744202,0,Normal,0,0
10.5,0.004773,4320,2456,31,29,18,18,6838466.5,3888539.75,7332.914633,0,Normal,0,0
10.6,0.646994,936,268,254,252,10,6,10423.58984,2769.731934,23.184141,0,Normal,0,0
10.7,0.175023,4550,72810,31,29,78,80,205321.5781,3286425.25,897.02494,0,Normal,0,0
10.8,4e-06,104,0,254,0,2,0,104000000.0,0.0,250000.0006,0,Normal,0,0
10.9,0.222392,424,8824,31,29,8,12,13345.80469,290981.6875,85.434731,0,Normal,0,0
11.0,0.088292,3614,50036,31,29,60,62,322022.375,4460562.5,1370.452548,0,Normal,0,0
11.1,1.3e-05,1282,0,254,0,2,0,394461536.0,0.0,76923.07779,0,Normal,0,0
11.2,0.022807,3614,45696,31,29,60,62,1246634.75,15770246.0,5305.388649,0,Normal,0,0
11.3,0.252863,3728,5578,31,29,32,26,114275.3203,169704.5469,225.418516,0,Normal,0,0
11.4,0.001118,146,178,31,29,2,2,522361.3438,636851.5,2683.363113,0,Normal,0,0
11.5,0.844681,2934,3740,31,29,52,54,27257.62695,34768.15234,124.307279,0,Normal,0,0
11.6,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
11.7,0.013929,2230,13500,31,29,34,36,1243448.875,7538229.5,4953.693688,0,Normal,0,0
11.8,0.009621,2230,13500,31,29,34,36,1800228.625,10913627.0,7171.811724,0,Normal,0,0
11.9,10.07182,180,0,254,0,4,0,107.229874,0.0,0.297861,0,Normal,0,0
12.0,1.352933,608,646,254,252,10,10,3240.367188,3441.411865,14.043563,0,Normal,0,0
12.1,0.005684,1920,4312,31,29,22,24,2579873.25,5817030.5,7916.959923,0,Normal,0,0
12.2,0.150994,4862,75600,31,29,84,86,254579.6406,3958885.75,1119.249751,0,Normal,0,0
12.3,0.300638,4552,2976,31,29,26,28,116472.3047,76370.92188,176.291759,0,Normal,0,0
12.4,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
12.5,1.333794,568,268,254,252,10,6,3070.938965,1343.535767,11.246114,0,Normal,0,0
12.6,0.088036,3806,51808,31,29,64,66,340497.0625,4636648.5,1465.309634,0,Normal,0,0
12.7,0.018163,1540,1644,31,29,16,18,636018.3125,684028.0,1816.880541,0,Normal,0,0
12.8,0.025034,2934,3742,31,29,52,54,919709.25,1173763.75,4194.295886,0,Normal,0,0
12.9,0.057906,4862,75600,31,29,84,86,663834.5,10323075.0,2918.523033,0,Normal,0,0
13.0,1e-06,104,0,254,0,2,0,416000000.0,0.0,1000000.003,0,Normal,0,0
13.1,0.031126,2054,2478,31,29,22,24,504015.9375,610422.125,1445.736684,0,Normal,0,0
13.2,1.081025,1580,10168,31,29,12,18,10723.15625,71073.28906,26.826392,0,Normal,0,0
13.3,5.8e-05,503,0,64,0,2,0,34758620.0,0.0,17241.37888,0,Normal,0,0
13.4,0.068909,3062,32642,31,29,50,50,348401.5313,3713883.75,1436.677422,0,Normal,0,0
13.5,0.10004,4238,63516,31,29,72,74,334266.2813,5010635.5,1449.420179,0,Normal,0,0
13.6,1.017413,1684,10168,31,29,14,18,12297.85742,75517.02344,30.469435,0,Normal,0,0
13.7,0.004392,1064,2260,31,29,12,12,1777777.75,3774134.75,5236.794272,0,Normal,0,0
13.8,1.068159,774,556,254,252,14,10,5384.966309,3752.250488,21.532375,0,Normal,0,0
13.9,0.004508,568,304,31,29,4,4,755989.375,404614.0313,1552.795077,0,Normal,0,0
14.0,3e-06,180,0,254,0,2,0,239999984.0,0.0,333333.3215,0,Normal,0,0
14.1,0.01734,1540,1644,31,29,16,18,666205.25,716493.625,1903.114108,0,Normal,0,0
14.2,0.358316,13142,548216,31,29,228,438,292144.375,12211902.0,1855.903705,0,Normal,0,0
14.3,1.00565,1580,10168,31,29,12,18,11526.87305,76400.33594,28.837069,0,Normal,0,0
14.4,0.223374,424,8824,31,29,8,12,13287.13281,289702.4688,85.059141,0,Normal,0,0
14.5,0.219133,546,268,254,252,10,6,17961.69336,8177.681641,68.451578,0,Normal,0,0
14.6,0.390399,4840,3080,31,29,28,30,95655.98438,61024.74609,146.004469,0,Normal,0,0
14.7,0.004155,424,8824,31,29,8,12,714320.0625,15574488.0,4572.803624,0,Normal,0,0
14.8,0.001253,146,178,31,29,2,2,466081.4063,568236.25,2394.253801,0,Normal,0,0
14.9,0.016536,2958,33044,31,29,48,50,1401548.25,15667151.0,5865.989621,0,Normal,0,0
15.0,0.75199,552,268,254,252,10,6,5287.304199,2383.010254,19.947073,0,Normal,0,0
15.1,0.914982,978,86,62,252,6,2,7125.823242,375.963684,7.650424,0,Normal,0,0
15.2,1.155109,68023,612,254,252,60,14,463263.625,3940.753418,63.197496,0,Normal,0,0
15.3,0.001017,146,178,31,29,2,2,574238.0,700098.375,2949.852669,0,Normal,0,0
15.4,0.035174,520,304,31,29,4,4,88701.88281,51856.48438,199.010627,0,Normal,0,0
15.5,0.001055,146,178,31,29,2,2,553554.5,674881.5,2843.601894,0,Normal,0,0
15.6,0.001031,146,178,31,29,2,2,566440.3125,690591.625,2909.796171,0,Normal,0,0
15.7,0.544315,568,320,31,29,4,4,6261.080566,3527.369385,12.860201,0,Normal,0,0
15.8,0.069017,3718,49932,31,29,62,60,424127.375,5691351.5,1753.19123,0,Normal,0,0
15.9,0.002323,520,304,31,29,4,4,1343090.875,785191.5625,3013.344821,0,Normal,0,0
16.0,0.990778,6096,678,254,252,18,12,46492.75391,5022.31543,29.269926,0,Normal,0,0
16.1,0.020485,2646,23508,31,29,42,42,1008738.063,8962265.0,4051.745044,0,Normal,0,0
16.2,1.696905,68103,612,254,252,58,14,315534.4688,2682.530762,41.84088,0,Normal,0,0
16.3,0.016956,2958,32642,31,29,48,50,1366831.875,15093183.0,5720.688957,0,Normal,0,0
16.4,0.072908,4862,75600,31,29,84,86,527239.8125,8198935.5,2317.989822,0,Normal,0,0
16.5,0.613519,852,1096,62,252,10,8,10001.32031,12504.91016,27.709003,0,Normal,0,0
16.6,5e-06,104,0,254,0,2,0,83200000.0,0.0,200000.0051,0,Normal,0,0
16.7,27.286858,1052,824,31,29,8,10,270.020111,217.540619,0.623011,0,Normal,0,0
16.8,0.569717,622,268,254,252,10,6,7863.553223,3145.421387,26.328862,0,Normal,0,0
16.9,0.015944,2974,30506,31,29,48,50,1461615.625,15000501.0,6083.793149,0,Normal,0,0
17.0,0.067366,568,304,31,29,4,4,50589.32031,27075.97461,103.90999,0,Normal,0,0
17.1,1e-06,90,0,254,0,2,0,360000000.0,0.0,1000000.003,0,Normal,0,0
17.2,0.117277,3614,50036,31,29,60,62,242434.5781,3358135.0,1031.745387,0,Normal,0,0
17.3,0.001078,130,162,31,29,2,2,482374.7813,601113.1875,2782.931502,0,Normal,0,0
17.4,0.024855,3182,39076,31,29,52,54,1004546.313,12344558.0,4224.50196,0,Normal,0,0
17.5,0.020426,320,1838,31,29,6,8,104572.6094,630177.25,636.443763,0,Normal,0,0
17.6,0.034882,2302,34406,31,29,30,42,510521.1563,7702998.5,2035.433656,0,Normal,0,0
17.7,0.095245,3822,57578,31,29,64,70,316069.0625,4767158.0,1396.398707,0,Normal,0,0
17.8,0.026925,3614,50036,31,29,60,62,1055970.25,14627001.0,4493.964812,0,Normal,0,0
17.9,0.026942,3806,51808,31,29,64,66,1112612.25,15150768.0,4788.063284,0,Normal,0,0
18.0,1.323417,2516,354,254,252,10,8,13691.83008,1873.937012,12.845536,0,Normal,0,0
18.1,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
18.2,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
18.3,0.033007,3806,51808,31,29,64,66,908171.0,12366831.0,3908.261926,0,Normal,0,0
18.4,0.376152,754,268,254,252,10,6,14440.9707,4764.03125,39.877495,0,Normal,0,0
18.5,2.260115,1540,1644,31,29,16,18,5111.244629,5497.06543,14.601028,0,Normal,0,0
18.6,1.249052,1048,792,254,252,12,10,6155.067871,4566.663086,16.81275,0,Normal,0,0
18.7,0.075907,1470,1728,31,29,22,14,147970.5469,169154.3594,461.090549,0,Normal,0,0
18.8,1.494646,7818,15800,31,29,122,126,41502.80469,83899.46875,165.256527,0,Normal,0,0
18.9,0.001075,146,178,31,29,2,2,543255.8125,662325.5625,2790.69758,0,Normal,0,0
19.0,0.000951,146,178,31,29,2,2,614090.4375,748685.5625,3154.574054,0,Normal,0,0
19.1,0.007619,2158,2478,31,29,24,24,2172463.5,2493765.5,6168.788523,0,Normal,0,0
19.2,0.103324,5278,83708,31,29,92,90,404242.9375,6409198.0,1751.771068,0,Normal,0,0
19.3,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
19.4,0.00166,528,304,31,29,4,4,1908433.75,1098795.25,4216.867595,0,Normal,0,0
19.5,0.466018,534,268,254,252,10,6,8257.192383,3845.345215,32.187599,0,Normal,0,0
19.6,0.117466,3926,57474,31,29,66,68,263361.3125,3856707.5,1132.242495,0,Normal,0,0
19.7,0.001204,130,162,31,29,2,2,431893.6875,538206.0,2491.694412,0,Normal,0,0
19.8,0.77577,994,268,254,252,10,6,9229.540039,2309.962891,19.335628,0,Normal,0,0
19.9,8e-06,104,0,254,0,2,0,52000000.0,0.0,125000.0003,0,Normal,0,0
20.0,0.032032,7818,15180,31,29,122,126,1936563.375,3761238.5,7711.038536,0,Normal,0,0
20.1,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
20.2,0.001749,544,304,31,29,4,4,1866209.25,1042881.625,4002.286915,0,Normal,0,0
20.3,0.004442,1470,1728,31,29,22,14,2528590.75,2890590.0,7879.333935,0,Normal,0,0
20.4,0.171392,568,304,31,29,4,4,19884.24219,10642.27051,40.842048,0,Normal,0,0
20.5,0.018749,2438,19266,31,29,38,40,1012960.688,8015360.5,4106.88559,0,Normal,0,0
20.6,0.048287,320,1910,31,29,6,8,44235.50781,277010.375,269.223598,0,Normal,0,0
20.7,0.729281,774,556,254,252,14,10,7887.220215,5495.82373,31.537912,0,Normal,0,0
20.8,0.76493,534,268,254,252,10,6,5030.525391,2342.697998,19.609637,0,Normal,0,0
20.9,1.670862,1540,1644,31,29,16,18,6913.796875,7435.683105,19.750285,0,Normal,0,0
21.0,0.004382,568,312,31,29,4,4,777727.125,427202.2188,1597.444148,0,Normal,0,0
21.1,0.188122,2054,2478,31,29,22,24,83392.6875,100998.2891,239.206467,0,Normal,0,0
21.2,0.000961,130,162,31,29,2,2,541103.0,674297.625,3121.748233,0,Normal,0,0
21.3,0.001755,536,304,31,29,4,4,1832478.625,1039316.25,3988.604044,0,Normal,0,0
21.4,0.001633,544,304,31,29,4,4,1998775.25,1116962.625,4286.589157,0,Normal,0,0
21.5,0.567303,810,1298,62,252,10,8,10280.2207,16019.6582,29.966349,0,Normal,0,0
21.6,0.06696,5174,83812,31,29,90,92,611350.0625,9904540.0,2703.106352,0,Normal,0,0
21.7,0.773069,7816,15092,31,29,122,126,80220.52344,154946.0625,319.505752,0,Normal,0,0
21.8,0.046361,320,1932,31,29,6,8,46073.20703,291797.0,280.408106,0,Normal,0,0
21.9,0.005568,568,312,31,29,4,4,612068.9375,336206.9063,1257.183903,0,Normal,0,0
22.0,0.050378,4238,63516,31,29,72,74,663781.8125,9950058.0,2878.240587,0,Normal,0,0
22.1,0.004524,568,312,31,29,4,4,753315.625,413793.0938,1547.303275,0,Normal,0,0
22.2,0.294693,8928,320,31,29,14,6,225074.9063,7248.221191,64.473878,0,Normal,0,0
22.3,7e-06,104,0,254,0,2,0,59428572.0,0.0,142857.1409,0,Normal,0,0
22.4,0.00109,146,178,31,29,2,2,535779.8125,653211.0,2752.293491,0,Normal,0,0
22.5,0.035918,2302,34406,31,29,30,42,495795.9688,7480817.0,1976.724702,0,Normal,0,0
22.6,0.004987,1470,1728,31,29,22,14,2252255.75,2574694.25,7018.247412,0,Normal,0,0
22.7,0.114519,2542,23508,31,29,40,42,173176.5,1603157.5,707.306211,0,Normal,0,0
22.8,0.041692,4222,64070,31,29,72,74,799002.1875,12127986.0,3477.885455,0,Normal,0,0
22.9,0.345231,4736,2976,31,29,26,28,105529.3438,66506.19531,153.520398,0,Normal,0,0
23.0,0.024903,3614,50036,31,29,60,62,1141709.875,15814641.0,4858.852464,0,Normal,0,0
23.1,0.994843,24448,29348,31,29,232,234,195753.5,234995.875,467.410433,0,Normal,0,0
23.2,33.729588,56,92,0,0,2,2,6.641054,10.910302,0.088943,0,Normal,0,0
23.3,0.662417,564,354,254,252,10,8,6135.108398,3743.865234,25.663593,0,Normal,0,0
23.4,0.132021,3848,19084,31,29,50,52,228569.7031,1134183.25,765.029835,0,Normal,0,0
23.5,0.001009,146,178,31,29,2,2,578790.875,705649.1875,2973.240834,0,Normal,0,0
23.6,0.332993,4264,3080,31,29,28,30,98788.85938,71545.04688,171.174769,0,Normal,0,0
23.7,0.583012,178,0,254,0,4,0,1838.727173,0.0,5.145692,0,Normal,0,0
23.8,3.089736,2302,34406,31,29,30,42,5763.599121,86964.0625,22.97931,0,Normal,0,0
23.9,0.001108,146,178,31,29,2,2,527075.8125,642599.25,2707.581093,0,Normal,0,0
24.0,0.571209,546,354,254,252,10,8,6890.647461,4341.667969,29.761435,0,Normal,0,0
24.1,1.651929,2934,3742,31,29,52,54,13937.64453,17787.68945,63.562053,0,Normal,0,0
24.2,2e-06,1064,0,254,0,2,0,2128000000.0,0.0,500000.0013,0,Normal,0,0
24.3,0.040559,2958,32642,31,29,48,50,571414.4375,6309820.0,2391.577627,0,Normal,0,0
24.4,0.018084,1540,1644,31,29,16,18,638796.6875,687016.125,1824.817438,0,Normal,0,0
24.5,0.042887,2438,19266,31,29,38,40,442838.1563,3504092.25,1795.415923,0,Normal,0,0
24.6,0.225052,424,8824,31,29,8,12,13188.06348,287542.4375,84.424933,0,Normal,0,0
24.7,0.005099,2262,2478,31,29,26,24,3412433.75,3726220.75,9609.727504,0,Normal,0,0
24.8,1e-06,104,0,254,0,2,0,416000000.0,0.0,1000000.003,0,Normal,0,0
24.9,0.077067,1958,2412,31,29,22,26,194013.0,240829.4063,609.858933,0,Normal,0,0
25.0,0.020874,2958,33044,31,29,48,50,1110280.75,12411230.0,4646.929367,0,Normal,0,0
25.1,1e-05,1064,0,254,0,2,0,425600000.0,0.0,100000.0025,0,Normal,0,0
25.2,0.01677,1540,1644,31,29,16,18,688849.125,740846.75,1967.799685,0,Normal,0,0
25.3,0.001101,146,178,31,29,2,2,530426.875,646684.8125,2724.795636,0,Normal,0,0
25.4,1.562547,586,354,254,252,10,8,2703.278809,1587.152344,10.879673,0,Normal,0,0
25.5,1e-05,1788,0,254,0,2,0,715200000.0,0.0,100000.0025,0,Normal,0,0
25.6,0.001037,132,164,31,29,2,2,509161.0625,632594.0625,2892.960519,0,Normal,0,0
25.7,0.032919,4238,63516,31,29,72,74,1015826.688,15227194.0,4404.750944,0,Normal,0,0
25.8,0.039948,3806,54798,31,29,64,66,750375.4375,10807650.0,3229.197836,0,Normal,0,0
25.9,0.035236,7810,15494,31,29,122,126,1758655.875,3490067.0,7009.876061,0,Normal,0,0
26.0,0.332426,642,268,254,252,10,6,13909.86231,5390.67334,45.122823,0,Normal,0,0
26.1,0.45098,826,1340,62,252,10,8,13197.92383,20808.01758,37.695684,0,Normal,0,0
26.2,4e-06,1064,0,254,0,2,0,1064000000.0,0.0,250000.0006,0,Normal,0,0
26.3,1.005867,1580,10168,31,29,12,18,11524.38672,76383.85938,28.830849,0,Normal,0,0
26.4,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
26.5,2.241115,828,1256,62,252,10,10,2662.959961,4037.275879,8.477922,0,Normal,0,0
26.6,1.011882,978,86,62,252,6,2,6443.439453,339.960602,6.917803,0,Normal,0,0
26.7,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
26.8,0.26939,8928,320,31,29,14,6,246215.5313,7929.025391,70.529719,0,Normal,0,0
26.9,0.0,46,0,0,0,1,0,0.0,0.0,0.0,0,Normal,0,0
27.0,0.00107,146,178,31,29,2,2,545794.375,665420.5625,2803.738322,0,Normal,0,0
27.1,0.095054,5174,83812,31,29,90,92,430660.4688,6977171.0,1904.180769,0,Normal,0,0
27.2,1.366244,152525,956,254,252,122,22,885786.1875,5346.043945,104.66652,0,Normal,0,0
27.3,0.023078,2054,2478,31,29,22,24,679781.625,823294.9375,1949.90899,0,Normal,0,0
27.4,0.004357,568,312,31,29,4,4,782189.625,429653.4375,1606.610096,0,Normal,0,0
27.5,0.006279,3728,5474,31,29,32,24,4602006.5,6683867.0,8759.356472,0,Normal,0,0
27.6,0.01916,1540,1644,31,29,16,18,602922.75,648434.1875,1722.33815,0,Normal,0,0
27.7,0.043015,2558,23162,31,29,40,42,464024.1875,4205231.0,1883.06407,0,Normal,0,0
27.8,0.036219,2438,19266,31,29,38,40,524365.625,4149203.25,2125.955942,0,Normal,0,0
27.9,0.0017,544,304,31,29,4,4,1920000.0,1072941.125,4117.647004,0,Normal,0,0
28.0,0.025332,1540,1644,31,29,16,18,456024.0,490446.875,1302.700137,0,Normal,0,0
28.1,0.599647,822,268,254,252,10,6,9872.475586,2988.425049,25.014718,0,Normal,0,0
28.2,0.010828,2438,18508,31,29,38,40,1753971.25,13332841.0,7111.19349,0,Normal,0,0
28.3,0.004693,4528,2456,31,29,18,18,7290858.5,3954826.25,7457.915868,0,Normal,0,0
